user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,tweet_link
 AustinPARLAYMMA , 2020-07-10 23:56:11 , 1281739024009506817 ,"UFC 251 VIDEOPOSTER 🔥🔥🌴 TOMORROW FIGHTISLAND. Who leaves with gold?

Fullvideo here: https://t.co/YbHb4pCB9R

#UFC251 FIGHTNIGHT train: 
1. Like, share, retweet before the fight 
2. Tag fighters
3. Drop predictions ⬇️⬇️⬇️
@btsportufc @ufc @espnmma #UFCFightIsland #InAbuDhabi https://t.co/tgs2oeuC4k", empty , 32 , 7 ,UFC    , https://twitter.com/id/status/1281739024009506817 
 Mohamed1994Elmi , 2020-07-10 23:56:08 , 1281739012886192128 ,"""The legend of Jorge Masvidal is very real down in Miami.""

@TheRock spoke to @MeganOlivi about the origins and recent ""awakening"" of @GamebredFighter ahead of #UFC251 https://t.co/ncokTuLugV", empty , 3255 , 495 , empty , https://twitter.com/id/status/1281739012886192128 
 jonzo_ball , 2020-07-10 23:56:07 , 1281739009065025536 ,On six days notice. #UFC251 https://t.co/aAjNHHs0vn,https://pbs.twimg.com/media/EckfsdEWoAEwcQo.jpg https://pbs.twimg.com/media/EckfsdMWsAAkDbn.jpg , 40486 , 5063 ,UFC    , https://twitter.com/id/status/1281739009065025536 
 Mohamed1994Elmi , 2020-07-10 23:56:06 , 1281739001888681986 ,"Great to chat with @MeganOlivi &amp; @espnmma about my brother @GamebredFighter and his huge fight this weekend against undefeated in the @ufc Welterweight Champion @USMAN84kg. 
When one’s mentality shifts, the world shifts with it. 
Can’t wait! 💪🏾
#UFC251 #FightIsland https://t.co/n8SyB79lOy", empty , 1855 , 128 , empty , https://twitter.com/id/status/1281739001888681986 
 PWUOfficial , 2020-07-10 23:56:00 , 1281738976550780929 ,"UFC 251 Preview, Final Card, Predictions
 
https://t.co/r27cqa3lkG
 
#UFC #UFC251 #UFCFightIsland #KamaruUsman #JorgeMasvidal", empty , 0 , 0 ,UFC UFC    UFCFightIsland KamaruUsman JorgeMasvidal , https://twitter.com/id/status/1281738976550780929 
 ColemanBU11 , 2020-07-10 23:55:54 , 1281738954136522755 ,Vanessa Melo 0-2 in the has missed weight all 3 times now.  She better win by flying-triangle-armbar tomorrow or she’s getting cut #UFCFightIsland #UFC251, empty , 4 , 1 ,UFCFightIsland UFC    , https://twitter.com/id/status/1281738954136522755 
 chino_att , 2020-07-10 23:55:53 , 1281738949610872841 ,On six days notice. #UFC251 https://t.co/aAjNHHs0vn,https://pbs.twimg.com/media/EckfsdEWoAEwcQo.jpg https://pbs.twimg.com/media/EckfsdMWsAAkDbn.jpg , 40486 , 5063 ,UFC    , https://twitter.com/id/status/1281738949610872841 
 Ador99239016 , 2020-07-10 23:55:48 , 1281738925791313921 ,I think Jorge murders Usman tomorrow #UFC251, empty , 584 , 45 ,UFC    , https://twitter.com/id/status/1281738925791313921 
 ChouaibiTrema , 2020-07-10 23:55:46 , 1281738919755816961 ,Dana White says interest in #UFC251 is “off the charts” 👀 https://t.co/CyZCnR6Ttw,https://pbs.twimg.com/media/EclW69rWAAIogyS.jpg , 5200 , 578 ,UFC    , https://twitter.com/id/status/1281738919755816961 
 dannykaea , 2020-07-10 23:55:40 , 1281738895592312832 ,"""You know why? Cuz I'm on the motherf---ing card, that's why!"" 😤

Jorge Masvidal's reaction to Dana White saying this PPV is trending at Conor-Khabib levels (via @ufc)

#UFC251 #UFCFightIsland https://t.co/4VUKwhikZy", empty , 3031 , 433 , empty , https://twitter.com/id/status/1281738895592312832 
